2026/09/04 11:01:37.913, 498.12 W, 600.00 W, 2730 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:01:38.914, 362.14 W, 600.00 W, 2730 MHz, 15368 MHz, 73, 98 %, 93054 MiB
2026/09/04 11:01:39.914, 361.87 W, 600.00 W, 2715 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:01:40.915, 462.88 W, 600.00 W, 2640 MHz, 15368 MHz, 80, 98 %, 93054 MiB
2026/09/04 11:01:41.916, 517.76 W, 600.00 W, 2730 MHz, 15368 MHz, 78, 98 %, 93054 MiB
2026/09/04 11:01:42.916, 356.81 W, 600.00 W, 2722 MHz, 15368 MHz, 73, 99 %, 93054 MiB
2026/09/04 11:01:43.917, 365.44 W, 600.00 W, 2722 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:01:44.918, 430.62 W, 600.00 W, 2662 MHz, 15368 MHz, 78, 98 %, 93054 MiB
2026/09/04 11:01:45.918, 549.94 W, 600.00 W, 2692 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:01:46.919, 365.68 W, 600.00 W, 2722 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:01:47.919, 369.77 W, 600.00 W, 2730 MHz, 15368 MHz, 76, 99 %, 93054 MiB
2026/09/04 11:01:48.920, 382.48 W, 600.00 W, 2662 MHz, 15368 MHz, 79, 98 %, 93054 MiB
2026/09/04 11:01:49.920, 561.61 W, 600.00 W, 2655 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:01:50.921, 415.32 W, 600.00 W, 2730 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:01:51.922, 367.21 W, 600.00 W, 2737 MHz, 15368 MHz, 76, 98 %, 93054 MiB
2026/09/04 11:01:52.923, 347.21 W, 600.00 W, 2790 MHz, 15368 MHz, 72, 0 %, 93054 MiB
2026/09/04 11:01:53.924, 478.48 W, 600.00 W, 2640 MHz, 15368 MHz, 81, 98 %, 93054 MiB
2026/09/04 11:01:54.925, 516.53 W, 600.00 W, 2722 MHz, 15368 MHz, 80, 99 %, 93054 MiB
2026/09/04 11:01:55.926, 374.87 W, 600.00 W, 2730 MHz, 15368 MHz, 77, 98 %, 93054 MiB
2026/09/04 11:01:56.926, 370.02 W, 600.00 W, 2722 MHz, 15368 MHz, 74, 99 %, 93054 MiB
2026/09/04 11:01:57.927, 376.11 W, 600.00 W, 2677 MHz, 15368 MHz, 79, 99 %, 93054 MiB
2026/09/04 11:01:58.927, 556.85 W, 600.00 W, 2647 MHz, 15368 MHz, 82, 99 %, 93054 MiB
2026/09/04 11:01:59.928, 452.15 W, 600.00 W, 2722 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:02:00.929, 379.60 W, 600.00 W, 2730 MHz, 15368 MHz, 77, 99 %, 93054 MiB
2026/09/04 11:02:01.929, 382.00 W, 600.00 W, 2722 MHz, 15368 MHz, 79, 99 %, 93054 MiB
2026/09/04 11:02:02.930, 407.98 W, 600.00 W, 2662 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:02:03.930, 560.20 W, 600.00 W, 2647 MHz, 15368 MHz, 82, 99 %, 93054 MiB
2026/09/04 11:02:04.931, 399.83 W, 600.00 W, 2722 MHz, 15368 MHz, 75, 100 %, 93054 MiB
2026/09/04 11:02:05.931, 380.63 W, 600.00 W, 2722 MHz, 15368 MHz, 78, 99 %, 93054 MiB
2026/09/04 11:02:06.932, 362.19 W, 600.00 W, 2760 MHz, 15368 MHz, 73, 0 %, 93054 MiB
2026/09/04 11:02:07.933, 425.30 W, 600.00 W, 2662 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:02:08.934, 565.98 W, 600.00 W, 2632 MHz, 15368 MHz, 82, 98 %, 93054 MiB
2026/09/04 11:02:09.934, 388.51 W, 600.00 W, 2715 MHz, 15368 MHz, 80, 99 %, 93054 MiB
2026/09/04 11:02:10.935, 386.39 W, 600.00 W, 2722 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:02:11.936, 366.48 W, 600.00 W, 2790 MHz, 15368 MHz, 73, 0 %, 93054 MiB
2026/09/04 11:02:12.936, 457.39 W, 600.00 W, 2655 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:02:13.937, 560.85 W, 600.00 W, 2632 MHz, 15368 MHz, 82, 99 %, 93054 MiB
2026/09/04 11:02:14.937, 394.52 W, 600.00 W, 2715 MHz, 15368 MHz, 76, 100 %, 93054 MiB
2026/09/04 11:02:15.938, 382.11 W, 600.00 W, 2737 MHz, 15368 MHz, 75, 99 %, 93054 MiB
2026/09/04 11:02:16.939, 390.84 W, 600.00 W, 2730 MHz, 15368 MHz, 76, 76 %, 93054 MiB
2026/09/04 11:02:17.940, 395.65 W, 600.00 W, 2670 MHz, 15368 MHz, 81, 99 %, 93054 MiB
2026/09/04 11:02:18.940, 556.82 W, 600.00 W, 2647 MHz, 15368 MHz, 82, 99 %, 93054 MiB
2026/09/04 11:02:19.941, 436.86 W, 600.00 W, 2715 MHz, 15368 MHz, 81, 98 %, 93054 MiB
2026/09/04 11:02:20.942, 386.69 W, 600.00 W, 2707 MHz, 15368 MHz, 80, 99 %, 93054 MiB
2026/09/04 11:02:21.942, 390.08 W, 600.00 W, 2700 MHz, 15368 MHz, 81, 99 %, 93054 MiB
